city,state,natural_hs,natural_college,foreign_hs,foreign_college
Lehigh Acres,Florida,0.85,0.13,0.67,0.18
Melbourne,Florida,0.9,0.24,0.8,0.3
Miami,Florida,0.86,0.35,0.67,0.29
Miami Beach,Florida,0.95,0.6,0.8,0.42
Miami Gardens,Florida,0.85,0.16,0.75,0.17
Miramar,Florida,0.95,0.35,0.87,0.34
Orlando,Florida,0.92,0.36,0.83,0.35
Palm Bay,Florida,0.9,0.18,0.76,0.2
Palm Coast,Florida,0.92,0.21,0.82,0.3
Pembroke Pines,Florida,0.94,0.33,0.88,0.36
Pine Hills,Florida,0.84,0.14,0.66,0.14
Plantation,Florida,0.97,0.44,0.88,0.39
Pompano Beach,Florida,0.88,0.25,0.72,0.27
Port St. Lucie,Florida,0.92,0.19,0.78,0.23
Riverview,Florida,0.93,0.27,0.85,0.38
St. Petersburg,Florida,0.9,0.3,0.81,0.34
Spring Hill,Florida,0.89,0.14,0.75,0.21
Sunrise,Florida,0.92,0.25,0.84,0.32
Tallahassee,Florida,0.93,0.46,0.91,0.65
Tampa,Florida,0.9,0.36,0.75,0.39
Town 'n' Country,Florida,0.91,0.29,0.78,0.25
West Palm Beach,Florida,0.91,0.36,0.73,0.32
Athens-Clarke County,Georgia,0.89,0.4,0.65,0.52
Atlanta,Georgia,0.89,0.46,0.84,0.64
Augusta-Richmond County,Georgia,0.84,0.2,0.84,0.4
Columbus,Georgia,0.86,0.23,0.73,0.4
Johns Creek,Georgia,0.99,0.63,0.91,0.73
Macon-Bibb County,Georgia,0.83,0.23,0.78,0.5
Roswell,Georgia,0.97,0.61,0.8,0.47
Sandy Springs,Georgia,0.98,0.63,0.84,0.5
Savannah,Georgia,0.87,0.26,0.71,0.47
Urban Honolulu,Hawaii,0.95,0.4,0.76,0.34
Boise City,Idaho,0.95,0.4,0.76,0.46
Meridian,Idaho,0.96,0.34,0.82,0.31
Nampa,Idaho,0.88,0.19,0.47,0.18
Aurora,Illinois,0.92,0.37,0.51,0.41
Bloomington,Illinois,0.95,0.43,0.91,0.71
Champaign,Illinois,0.95,0.47,0.91,0.71
